t (s)	U1(V)	U2(V)
0,000000	1,537710	-0,005250
0,006667	1,527214	0,000000
0,013333	1,516718	-0,005250
0,020000	1,506221	0,000000
0,026667	1,490477	-0,005250
0,033333	1,479981	-0,005250
0,040000	1,464236	-0,005250
0,046667	1,453740	0,000000
0,053333	1,437995	-0,005250
0,060000	1,422251	-0,005250
0,066667	1,406506	-0,005250
0,073333	1,385514	-0,005250
0,080000	1,375017	-0,005250
0,086667	1,354025	-0,005250
0,093333	1,338280	-0,005250
0,100000	1,322536	-0,005250
0,106667	1,301543	-0,005250
0,113333	1,285799	-0,005250
0,120000	1,270054	-0,005250
0,126667	1,249062	-0,005250
0,133333	1,228069	-0,005250
0,140000	1,212325	-0,005250
0,146667	1,191332	-0,005250
0,153333	1,170339	-0,005250
0,160000	1,154595	0,000000
0,166667	1,133602	-0,005250
0,173333	1,112610	-0,005250
0,180000	1,091617	-0,005250
0,186667	1,075872	-0,005250
0,193333	1,049632	-0,005250
0,200000	1,033887	-0,005250
0,206667	1,007646	-0,005250
0,213333	0,986654	-0,005250
0,220000	0,970909	-0,005250
0,226667	0,949917	-0,005250
0,233333	0,928924	0,000000
0,240000	0,907931	-0,005250
0,246667	0,886939	-0,005250
0,253333	0,865946	-0,005250
0,260000	0,844953	-0,005250
0,266667	0,823961	-0,005250
0,273333	0,797720	-0,005250
0,280000	0,781976	-0,005250
0,286667	0,760983	-0,005250
0,293333	0,739990	-0,005250
0,300000	0,718998	-0,005250
0,306667	0,698005	-0,005250
0,313333	0,677012	0,000000
0,320000	0,656020	-0,005250
0,326667	0,635027	0,000000
0,333333	0,614035	-0,005250
0,340000	0,587794	-0,005250
0,346667	0,566801	0,000000
0,353333	0,545808	-0,005250
0,360000	0,530064	-0,005250
0,366667	0,514320	-0,005250
0,373333	0,488079	-0,005250
0,380000	0,467086	-0,005250
0,386667	0,446093	-0,005250
0,393333	0,425101	0,000000
0,400000	0,404108	-0,005250
0,406667	0,377867	-0,005250
0,413333	0,356875	0,000000
0,420000	0,341130	-0,005250
0,426667	0,320138	0,000000
0,433333	0,293897	0,000000
0,440000	0,272904	0,000000
0,446667	0,251912	-0,005250
0,453333	0,230919	0,000000
0,460000	0,215174	0,000000
0,466667	0,188934	-0,005250
0,473333	0,167941	-0,005250
0,480000	0,152197	0,000000
0,486667	0,131204	0,000000
0,493333	0,104963	0,000000
0,500000	0,089219	-0,005250
0,506667	0,068226	0,000000
0,513333	0,047233	0,000000
0,520000	0,031489	0,000000
0,526667	0,010496	0,000000
0,533333	-0,005248	0,000000
0,540000	-0,026241	0,000000
0,546667	-0,047233	0,000000
0,553333	-0,062978	0,000000
0,560000	-0,083971	0,000000
0,566667	-0,104963	0,000000
0,573333	-0,120708	0,000000
0,580000	-0,136452	0,000000
0,586667	-0,157445	0,000000
0,593333	-0,173189	0,000000
0,600000	-0,188934	0,000000
0,606667	-0,204678	0,000000
0,613333	-0,220423	0,000000
0,620000	-0,236167	0,000000
0,626667	-0,251912	0,000000
0,633333	-0,262408	0,000000
0,640000	-0,278152	0,000000
0,646667	-0,293897	0,000000
0,653333	-0,304393	0,000000
0,660000	-0,320138	0,000000
0,666667	-0,335882	0,000000
0,673333	-0,346378	0,005250
0,680000	-0,356875	0,005250
0,686667	-0,367371	0,000000
0,693333	-0,377867	0,000000
0,700000	-0,393612	0,005250
0,706667	-0,398860	0,005250
0,713333	-0,409356	0,005250
0,720000	-0,419853	0,005250
0,726667	-0,430349	0,000000
0,733333	-0,440845	0,000000
0,740000	-0,446093	0,000000
0,746667	-0,451342	0,000000
0,753333	-0,461838	0,000000
0,760000	-0,467086	0,005250
0,766667	-0,472334	0,000000
0,773333	-0,482831	0,000000
0,780000	-0,482831	0,005250
0,786667	-0,493327	0,000000
0,793333	-0,498575	0,005250
0,800000	-0,503823	0,000000
0,806667	-0,503823	0,005250
0,813333	-0,514320	0,005250
0,820000	-0,519568	0,000000
0,826667	-0,524816	0,000000
0,833333	-0,519568	0,000000
0,840000	-0,530064	0,000000
0,846667	-0,530064	0,005250
0,853333	-0,535312	0,000000
0,860000	-0,535312	0,000000
0,866667	-0,540560	0,005250
0,873333	-0,540560	0,005250
0,880000	-0,540560	0,005250
0,886667	-0,545808	0,000000
0,893333	-0,545808	0,000000
0,900000	-0,545808	0,005250
0,906667	-0,545808	0,005250
0,913333	-0,545808	0,005250
0,920000	-0,545808	0,005250
0,926667	-0,545808	0,005250
0,933333	-0,545808	0,005250
0,940000	-0,545808	0,005250
0,946667	-0,540560	0,005250
0,953333	-0,545808	0,000000
0,960000	-0,540560	0,005250
0,966667	-0,540560	0,005250
0,973333	-0,535312	0,005250
0,980000	-0,530064	0,000000
0,986667	-0,530064	0,005250
0,993333	-0,530064	0,005250
1,000000	-0,524816	0,000000
1,006667	-0,524816	0,005250
1,013333	-0,519568	0,005250
1,020000	-0,514320	0,005250
1,026667	-0,514320	0,000000
1,033333	-0,509071	0,000000
1,040000	-0,503823	0,000000
1,046667	-0,498575	0,000000
1,053333	-0,498575	0,005250
1,060000	-0,493327	0,005250
1,066667	-0,488079	0,000000
1,073333	-0,482831	0,000000
1,080000	-0,477582	0,005250
1,086667	-0,472334	0,000000
1,093333	-0,467086	0,005250
1,100000	-0,461838	0,005250
1,106667	-0,456590	0,005250
1,113333	-0,451342	0,005250
1,120000	-0,446093	0,005250
1,126667	-0,440845	0,005250
1,133333	-0,435597	0,005250
1,140000	-0,425101	0,005250
1,146667	-0,419853	0,005250
1,153333	-0,414605	0,000000
1,160000	-0,409356	0,005250
1,166667	-0,404108	0,005250
1,173333	-0,398860	0,005250
1,180000	-0,388364	0,000000
1,186667	-0,383116	0,005250
1,193333	-0,377867	0,005250
1,200000	-0,367371	0,005250
1,206667	-0,362123	0,005250
1,213333	-0,356875	0,005250
1,220000	-0,351627	0,005250
1,226667	-0,346378	0,000000
1,233333	-0,335882	0,005250
1,240000	-0,325386	0,000000
1,246667	-0,320138	0,005250
1,253333	-0,309641	0,005250
1,260000	-0,304393	0,000000
1,266667	-0,299145	0,005250
1,273333	-0,288649	0,000000
1,280000	-0,278152	0,000000
1,286667	-0,272904	0,000000
1,293333	-0,267656	0,005250
1,300000	-0,257160	0,000000
1,306667	-0,251912	0,005250
1,313333	-0,241415	0,005250
1,320000	-0,236167	0,005250
1,326667	-0,230919	0,000000
1,333333	-0,220423	0,005250
1,340000	-0,215174	0,005250
1,346667	-0,204678	0,000000
1,353333	-0,199430	0,005250
1,360000	-0,188934	0,000000
1,366667	-0,183686	0,005250
1,373333	-0,178437	0,005250
1,380000	-0,173189	0,000000
1,386667	-0,162693	0,000000
1,393333	-0,157445	0,005250
1,400000	-0,146948	0,000000
1,406667	-0,141700	0,000000
1,413333	-0,136452	0,005250
1,420000	-0,131204	0,000000
1,426667	-0,120708	0,005250
1,433333	-0,115459	0,005250
1,440000	-0,110211	0,000000
1,446667	-0,099715	0,005250
1,453333	-0,094467	0,005250
1,460000	-0,089219	0,005250
1,466667	-0,083971	0,005250
1,473333	-0,073474	0,000000
1,480000	-0,068226	0,000000
1,486667	-0,062978	0,005250
1,493333	-0,052482	0,005250
1,500000	-0,047233	0,000000
1,506667	-0,047233	0,005250
1,513333	-0,041985	0,005250
1,520000	-0,031489	0,000000
1,526667	-0,031489	0,005250
1,533333	-0,020993	0,005250
1,540000	-0,015744	0,005250
1,546667	-0,010496	0,005250
1,553333	-0,005248	0,000000
1,560000	0,000000	0,005250
1,566667	0,005248	0,005250
1,573333	0,005248	0,005250
1,580000	0,010496	0,005250
1,586667	0,015744	0,005250
1,593333	0,026241	0,005250
1,600000	0,026241	0,000000
1,606667	0,031489	0,005250
1,613333	0,036737	0,000000
1,620000	0,041985	0,005250
1,626667	0,041985	0,000000
1,633333	0,052482	0,005250
1,640000	0,052482	0,000000
1,646667	0,057730	0,005250
1,653333	0,057730	0,005250
1,660000	0,062978	0,005250
1,666667	0,068226	0,000000
1,673333	0,068226	0,005250
1,680000	0,073474	0,000000
1,686667	0,073474	0,000000
1,693333	0,078722	0,000000
1,700000	0,083971	0,005250
1,706667	0,083971	0,005250
1,713333	0,089219	0,000000
1,720000	0,089219	0,000000
1,726667	0,089219	0,005250
1,733333	0,094467	0,000000
1,740000	0,094467	0,000000
1,746667	0,099715	0,000000
1,753333	0,099715	0,005250
1,760000	0,104963	0,005250
1,766667	0,104963	0,000000
1,773333	0,110211	0,000000
1,780000	0,110211	0,005250
1,786667	0,110211	0,000000
1,793333	0,110211	0,000000
1,800000	0,115459	0,005250
1,806667	0,110211	0,000000
1,813333	0,120708	0,000000
1,820000	0,120708	0,000000
1,826667	0,120708	0,000000
1,833333	0,115459	0,000000
1,840000	0,120708	0,000000
1,846667	0,120708	0,005250
1,853333	0,120708	0,005250
1,860000	0,120708	0,005250
1,866667	0,125956	0,005250
1,873333	0,125956	0,005250
1,880000	0,120708	0,005250
1,886667	0,125956	0,005250
1,893333	0,125956	0,000000
1,900000	0,125956	0,005250
1,906667	0,125956	0,000000
1,913333	0,125956	0,000000
1,920000	0,120708	0,000000
1,926667	0,125956	0,000000
1,933333	0,125956	0,000000
1,940000	0,125956	0,005250
1,946667	0,125956	0,005250
1,953333	0,125956	0,005250
1,960000	0,120708	0,000000
1,966667	0,125956	0,000000
1,973333	0,120708	0,000000
1,980000	0,120708	0,005250
1,986667	0,120708	0,000000
1,993333	0,120708	0,000000
2,000000	0,120708	0,005250
2,006667	0,120708	0,005250
2,013333	0,115459	0,005250
2,020000	0,120708	0,000000
2,026667	0,120708	0,000000
2,033333	0,115459	0,000000
2,040000	0,115459	0,005250
2,046667	0,115459	0,000000
2,053333	0,110211	0,000000
2,060000	0,115459	0,005250
2,066667	0,110211	0,000000
2,073333	0,110211	0,000000
2,080000	0,110211	0,000000
2,086667	0,110211	0,005250
2,093333	0,110211	0,000000
2,100000	0,104963	0,005250
2,106667	0,104963	0,005250
2,113333	0,104963	0,000000
2,120000	0,104963	0,000000
2,126667	0,104963	0,000000
2,133333	0,099715	0,000000
2,140000	0,099715	0,005250
2,146667	0,094467	0,000000
2,153333	0,094467	0,000000
2,160000	0,094467	0,000000
2,166667	0,094467	0,005250
2,173333	0,089219	0,000000
2,180000	0,089219	0,000000
2,186667	0,089219	0,005250
2,193333	0,083971	0,000000
2,200000	0,083971	0,005250
2,206667	0,083971	0,005250
2,213333	0,078722	0,005250
2,220000	0,083971	0,005250
2,226667	0,078722	0,000000
2,233333	0,073474	0,005250
2,240000	0,073474	0,000000
2,246667	0,073474	0,000000
2,253333	0,073474	0,000000
2,260000	0,068226	0,005250
2,266667	0,068226	0,000000
2,273333	0,068226	0,005250
2,280000	0,068226	0,000000
2,286667	0,062978	0,000000
2,293333	0,062978	0,000000
2,300000	0,057730	0,005250
2,306667	0,057730	0,005250
2,313333	0,057730	0,005250
2,320000	0,057730	0,000000
2,326667	0,052482	0,000000
2,333333	0,052482	0,000000
2,340000	0,052482	0,005250
2,346667	0,047233	0,005250
2,353333	0,047233	0,000000
2,360000	0,041985	0,000000
2,366667	0,047233	0,000000
2,373333	0,041985	0,005250
2,380000	0,041985	0,005250
2,386667	0,041985	0,000000
2,393333	0,036737	0,000000
2,400000	0,036737	0,005250
2,406667	0,036737	0,000000
2,413333	0,036737	0,000000
2,420000	0,031489	0,000000
2,426667	0,031489	0,000000
2,433333	0,031489	0,000000
2,440000	0,031489	0,000000
2,446667	0,026241	0,005250
2,453333	0,020993	0,000000
2,460000	0,020993	0,005250
2,466667	0,020993	0,000000
2,473333	0,020993	0,000000
2,480000	0,015744	0,005250
2,486667	0,015744	0,000000
2,493333	0,015744	0,005250
2,500000	0,010496	0,000000
2,506667	0,010496	0,000000
2,513333	0,010496	0,005250
2,520000	0,010496	0,005250
2,526667	0,005248	0,000000
2,533333	0,005248	0,005250
2,540000	0,000000	0,000000
2,546667	0,005248	0,000000
2,553333	0,000000	0,000000
2,560000	0,000000	0,000000
2,566667	0,000000	0,000000
2,573333	-0,005248	0,000000
2,580000	-0,005248	0,000000
2,586667	0,000000	0,005250
2,593333	-0,005248	0,005250
2,600000	-0,010496	0,000000
2,606667	-0,010496	0,000000
2,613333	-0,010496	0,000000
2,620000	-0,010496	0,000000
2,626667	-0,010496	0,005250
2,633333	-0,015744	0,000000
2,640000	-0,010496	0,000000
2,646667	-0,015744	0,000000
2,653333	-0,015744	0,000000
2,660000	-0,015744	0,000000
2,666667	-0,015744	0,000000
2,673333	-0,015744	0,000000
2,680000	-0,020993	0,000000
2,686667	-0,020993	0,000000
2,693333	-0,015744	0,000000
2,700000	-0,020993	0,000000
2,706667	-0,020993	0,000000
2,713333	-0,026241	0,000000
2,720000	-0,020993	0,005250
2,726667	-0,026241	0,005250
2,733333	-0,020993	0,000000
2,740000	-0,026241	0,005250
2,746667	-0,031489	0,000000
2,753333	-0,026241	0,000000
2,760000	-0,026241	0,005250
2,766667	-0,026241	0,000000
2,773333	-0,026241	0,000000
2,780000	-0,026241	0,000000
2,786667	-0,026241	0,000000
2,793333	-0,031489	0,000000
2,800000	-0,031489	0,000000
2,806667	-0,026241	0,000000
2,813333	-0,031489	0,000000
2,820000	-0,031489	0,000000
2,826667	-0,031489	0,000000
2,833333	-0,031489	0,000000
2,840000	-0,031489	0,005250
2,846667	-0,031489	0,000000
