Time (s),Gyroscope x (rad/s)
4.37E+00,3.67E-03
4.37E+00,3.67E-03
4.37E+00,4.89E-03
4.37E+00,6.11E-03
4.38E+00,6.11E-03
4.38E+00,7.33E-03
4.38E+00,8.55E-03
4.38E+00,7.33E-03
4.38E+00,8.55E-03
4.39E+00,1.10E-02
4.39E+00,1.10E-02
4.39E+00,1.22E-02
4.39E+00,1.34E-02
4.40E+00,1.34E-02
4.40E+00,1.71E-02
4.40E+00,1.71E-02
4.40E+00,1.83E-02
4.40E+00,1.95E-02
4.41E+00,1.95E-02
4.41E+00,2.08E-02
4.41E+00,2.08E-02
4.41E+00,2.08E-02
4.41E+00,1.83E-02
4.42E+00,2.08E-02
4.42E+00,2.32E-02
4.42E+00,2.44E-02
4.42E+00,2.69E-02
4.42E+00,2.81E-02
4.43E+00,2.93E-02
4.43E+00,3.30E-02
4.43E+00,3.56E-02
4.43E+00,3.68E-02
4.43E+00,3.91E-02
4.44E+00,4.28E-02
4.44E+00,4.66E-02
4.44E+00,4.78E-02
4.44E+00,4.90E-02
4.45E+00,5.25E-02
4.45E+00,5.51E-02
4.45E+00,5.76E-02
4.45E+00,6.25E-02
4.45E+00,6.61E-02
4.46E+00,6.98E-02
4.46E+00,7.10E-02
4.46E+00,7.47E-02
4.46E+00,7.83E-02
4.46E+00,8.20E-02
4.47E+00,8.45E-02
4.47E+00,8.93E-02
4.47E+00,9.18E-02
4.47E+00,9.54E-02
4.47E+00,9.91E-02
4.48E+00,1.03E-01
4.48E+00,1.08E-01
4.48E+00,1.11E-01
4.48E+00,1.15E-01
4.48E+00,1.19E-01
4.49E+00,1.24E-01
4.49E+00,1.25E-01
4.49E+00,1.31E-01
4.49E+00,1.33E-01
4.50E+00,1.37E-01
4.50E+00,1.41E-01
4.50E+00,1.47E-01
4.50E+00,1.49E-01
4.50E+00,1.53E-01
4.51E+00,1.58E-01
4.51E+00,1.62E-01
4.51E+00,1.68E-01
4.51E+00,1.70E-01
4.51E+00,1.75E-01
4.52E+00,1.79E-01
4.52E+00,1.85E-01
4.52E+00,1.88E-01
4.52E+00,1.95E-01
4.52E+00,1.98E-01
4.53E+00,2.04E-01
4.53E+00,2.08E-01
4.53E+00,2.12E-01
4.53E+00,2.17E-01
4.53E+00,2.22E-01
4.54E+00,2.28E-01
4.54E+00,2.31E-01
4.54E+00,2.36E-01
4.54E+00,2.42E-01
4.55E+00,2.48E-01
4.55E+00,2.52E-01
4.55E+00,2.57E-01
4.55E+00,2.64E-01
4.55E+00,2.68E-01
4.56E+00,2.74E-01
4.56E+00,2.81E-01
4.56E+00,2.88E-01
4.56E+00,2.91E-01
4.56E+00,3.00E-01
4.57E+00,3.06E-01
4.57E+00,3.11E-01
4.57E+00,3.16E-01
4.57E+00,3.22E-01
4.57E+00,3.29E-01
4.58E+00,3.34E-01
4.58E+00,3.41E-01
4.58E+00,3.49E-01
4.58E+00,3.54E-01
4.58E+00,3.63E-01
4.59E+00,3.71E-01
4.59E+00,3.77E-01
4.59E+00,3.84E-01
4.59E+00,3.94E-01
4.60E+00,4.00E-01
4.60E+00,4.06E-01
4.60E+00,4.14E-01
4.60E+00,4.23E-01
4.60E+00,4.31E-01
4.61E+00,4.39E-01
4.61E+00,4.49E-01
4.61E+00,4.56E-01
4.61E+00,4.65E-01
4.61E+00,4.76E-01
4.62E+00,4.86E-01
4.62E+00,4.91E-01
4.62E+00,5.02E-01
4.62E+00,5.10E-01
4.62E+00,5.21E-01
4.63E+00,5.32E-01
4.63E+00,5.41E-01
4.63E+00,5.51E-01
4.63E+00,5.62E-01
4.64E+00,5.73E-01
4.64E+00,5.84E-01
4.64E+00,5.95E-01
4.64E+00,6.05E-01
4.64E+00,6.16E-01
4.65E+00,6.28E-01
4.65E+00,6.40E-01
4.65E+00,6.52E-01
4.65E+00,6.66E-01
