R / Ohms,V / volts,I / mA
0,0.03,32.6
5,0.156,30.8
10,0.294,29.1
15,0.417,27.6
20,0.528,26.2
25,0.628,25
30,0.72,23.8
35,0.804,22.8
40,0.88,21.9
45,0.952,21
50,1.016,20.2
65,1.186,18.1
75,1.281,17
80,1.323,16.4
81,1.332,16.3
86,1.372,15.8
90,1.402,15.5
110,1.534,13.9
130,1.641,12.5
170,1.805,10.5
210,1.923,9.1
250,2.01,7.81
290,2.03,6.99
330,2.09,6.32
370,2.14,5.77
420,2.19,5.21
460,2.22,4.83
500,2.25,4.5
600,2.31,3.85
700,2.36,3.36
800,2.39,2.98
900,2.42,2.68
1000,2.44,2.43
