R / Ohms,V / mV,I / mA,P= VI / μW
0,0.3,6.1,1.83
2,12.6,6.1,76.86
4,24.8,6.1,151.28
6,37,6.1,225.7
8,49.3,6.09,300.237
10,61.5,6.09,374.535
20,122.6,6.09,746.634
30,184.2,6.09,1121.778
40,245,6.09,1492.05
50,306,6.09,1863.54
60,367,6.09,2235.03
70,428,6.08,2602.24
80,488,6.08,2967.04
90,549,6.07,3332.43
100,609,6.07,3696.63
110,669,6.06,4054.14
120,730,6.06,4423.8
130,790,6.05,4779.5
140,850,6.05,5142.5
150,911,6.05,5511.55
160,971,6.04,5864.84
175,1061,6.04,6408.44
190,1151,6.03,6940.53
205,1241,6.03,7483.23
220,1330,6.02,8006.6
230,1386,6.01,8329.86
235,1419,6.01,8528.19
240,1444,6,8664
250,1585,6,9510
260,1556,5.96,9273.76
270,1606,5.93,9523.58
280,1651,5.87,9691.37
290,1691,5.81,9824.71
300,1728,5.74,9918.72
310,1749,5.62,9829.38
320,1770,5.51,9752.7
330,1788,5.4,9655.2
340,1803,5.28,9519.84
350,1820,5.18,9427.6
370,1836,4.94,9069.84
390,1852,4.73,8759.96
400,1864,4.64,8648.96
450,1893,4.19,7931.67
500,1909,3.8,7254.2
600,1937,3.21,6217.77
700,1955,2.78,5434.9
800,1969,2.45,4824.05
900,1979,2.19,4334.01
1000,1987,1.98,3934.26
1300,2000,1.53,3060
1600,2010,1.25,2512.5
2000,2020,1,2020
