Time [s],Object 1: X position [cm],Object 2: X position [cm]
0.02,-0.59,16.38
0.06,0.8,17.66
0.08,1.07,17.85
0.12,0,16.45
0.16,1.23,17.61
0.18,1.61,17.92
0.22,0.5,16.38
0.26,1.87,17.66
0.28,2.11,17.78
0.32,1.02,16.43
0.36,2.34,17.59
0.38,2.82,17.76
0.42,1.61,16.45
0.46,3.05,17.45
0.48,3.27,17.9
0.52,2.18,16.48
0.56,3.53,17.54
0.58,4.1,17.87
0.62,2.77,16.48
0.66,4.21,17.66
0.68,4.69,17.78
0.72,3.36,16.48
0.76,4.71,17.52
0.78,5.14,17.71
0.82,3.91,16.45
0.86,5.33,17.45
0.88,5.63,17.8
0.92,4.47,16.48
0.98,6.23,17.76
1.02,5.04,16.41
1.06,6.51,17.52
1.08,6.79,17.87
1.12,5.66,16.43
1.16,7.03,17.66
1.18,7.39,17.9
1.22,6.18,16.36
1.28,8.07,17.87
1.32,6.82,16.41
1.38,8.52,17.78
1.42,7.36,16.43
1.48,9.21,18.09
1.52,7.93,16.41
1.58,9.71,18.06
1.62,8.5,16.41
1.68,10.35,17.87
1.72,9.14,16.45
1.78,10.87,17.9
1.82,9.68,16.41
1.88,11.46,17.8
1.92,10.25,16.41
1.98,12.24,17.85
2.02,10.8,16.41
2.08,12.67,17.8
2.12,11.46,16.41
2.18,13.16,17.71
2.22,12.03,16.38
2.28,13.78,17.71
2.32,12.57,16.41
2.38,14.32,17.97
2.42,13.21,16.31
2.48,14.77,17.92
2.52,13.52,16.71
2.58,14.96,18.3
2.62,13.45,17.21
2.68,14.91,18.99
2.72,13.52,17.73
2.78,14.91,19.37
2.82,13.54,18.3
2.88,15.01,19.98
2.92,13.66,18.75
2.98,15.22,20.31
3.02,13.71,19.2
3.04,15.27,
3.08,15.18,20.81
3.12,13.83,19.65
3.18,15.34,21.09
3.22,13.99,20.08
3.28,15.53,21.4
3.32,14.16,20.53
3.38,15.74,22.09
3.42,14.35,20.83
3.48,15.93,22.42
3.52,14.56,21.21
3.54,15.53,
3.58,16.1,23.06
3.62,14.68,21.5
3.64,15.18,
3.68,16.22,23.2
3.72,14.87,21.83
3.78,16.38,23.58
3.82,15.06,22.23
3.84,15.67,
3.88,16.52,24.12
3.92,15.25,22.56
3.98,16.83,24.01
4.02,15.39,22.92
4.04,15.98,
4.08,16.97,24.29
4.12,15.58,23.32
4.18,17.33,25
4.22,15.72,23.67
4.24,16.38,
4.28,17.4,25.05
4.32,15.96,23.98
4.34,16.43,
4.36,18.06,
4.38,17.5,25.28
4.42,16.12,24.29
4.44,16.74,
4.48,17.76,25.69
4.52,16.31,24.72
4.58,17.87,26.14
4.62,16.45,25
4.64,18.04,
4.68,18.11,27.01
4.72,16.64,25.36
4.74,17.21,
4.78,18.37,26.85
4.82,16.81,25.71
4.88,18.44,27.63
4.92,17.07,26.07
4.94,17.52,
4.98,18.58,27.37
5.02,17.16,26.37
5.08,18.8,27.77
5.12,17.38,26.8
5.14,17.87,
5.18,19.15,28.31
5.22,17.5,27.11
5.24,17.99,
5.28,19.13,28.55
5.32,17.71,27.44
5.34,18.39,
5.38,19.48,29.05
5.42,17.85,27.82
5.44,18.47,
5.48,19.48,29.19
5.52,18.04,28.15
5.58,19.84,29.47
5.62,18.25,28.41
5.64,19.01,
5.68,19.98,29.85
5.72,18.37,28.81
5.74,19.13,
5.78,19.98,30.4
5.82,18.58,29.19
5.88,20.15,30.56
5.92,18.75,29.55
5.94,19.32,
5.96,19.91,30.78
5.98,20.55,31.08
6.02,18.89,29.88
6.04,19.63,
6.08,20.69,31.37
6.12,19.11,30.23
6.14,19.67,
6.18,20.83,31.61
6.22,19.29,30.56
6.24,19.7,
6.28,21.02,31.94
6.32,19.44,30.92
6.34,19.93,
6.38,21.19,32.29
6.42,19.6,31.27
6.44,20.24,
6.48,21.16,33.31
6.52,19.77,31.58
6.54,20.36,
6.58,21.5,32.95
6.62,19.98,31.96
6.64,20.41,
6.68,21.5,33.33
6.72,20.17,32.29
6.74,21.09,
6.78,21.64,33.69
6.82,20.27,32.6
6.84,20.76,
6.88,22.02,34.07
6.92,20.45,32.95
6.94,20.95,
6.98,22.04,34.33
7.02,20.64,33.33
7.04,21.07,
7.08,22.44,34.68
7.12,20.86,33.69
7.14,21.35,
7.18,22.37,35.04
7.22,20.95,34.16
7.24,21.47,
7.28,22.54,35.37
7.32,21.14,34.47
7.34,21.57,
7.38,22.7,35.75
7.42,21.28,
7.44,22.06,
7.48,22.89,36.06
7.52,21.5,35.2
7.54,21.9,
7.58,23.22,36.39
7.62,21.61,
7.64,22.06,
7.68,23.41,36.7
7.72,21.83,
7.74,22.25,
7.78,23.32,37.03
7.82,21.97,
7.84,22.35,
7.88,23.51,37.38
7.92,22.21,
7.94,22.56,
