t (s) - 400mA,U1(V) - 400mA,U2(V) - 400mA,,t (s) - 500mA,U1(V) - 500mA,U2(V) - 500mA,,t (s) - 600mA,U1(V) - 600mA,U2(V) - 600mA,,t (s) - 700mA,U1(V) - 700mA,U2(V) - 700mA,,t (s) - 800mA,U1(V) - 800mA,U2(V) - 800mA,,t (s) - 900mA,U1(V) - 900mA,U2(V) - 900mA,,t (s) - 1000mA,U1(V) - 1000mA,U2(V) - 1000mA,,t (s) - 1100mA,U1(V) -  1100mA,U2(V) -  1100mA,,t (s) - 1200mA,U1(V) - 1200mA,U2(V) - 1200mA
0,-1.133602,0.00525,,0,-1.175587,0.00525,,0,-0.346378,0,,0,0.661268,-0.00525,,0,1.401258,-0.00525,,0,1.422251,-0.00525,,0,1.264806,-0.00525,,0,1.53771,-0.00525,,0,0.766231,0
0.006667,-1.13885,0.00525,,0.006667,-1.175587,0.00525,,0.006667,-0.367371,0.00525,,0.006667,0.635027,-0.00525,,0.006667,1.380266,-0.00525,,0.006667,1.417003,-0.00525,,0.006667,1.249062,-0.00525,,0.006667,1.527214,0,,0.003333,0.755735,0
0.013333,-1.144098,0.00525,,0.013333,-1.175587,0.00525,,0.013333,-0.39886,0,,0.013333,0.619283,-0.00525,,0.013333,1.369769,-0.00525,,0.013333,1.401258,-0.00525,,0.013333,1.228069,-0.00525,,0.013333,1.516718,-0.00525,,0.006667,0.750487,-0.00525
0.02,-1.149347,0.00525,,0.02,-1.180836,0.00525,,0.02,-0.425101,0.00525,,0.02,0.587794,0,,0.02,1.348777,-0.00525,,0.02,1.380266,-0.00525,,0.02,1.207076,-0.00525,,0.02,1.506221,0,,0.01,0.73999,-0.00525
0.026667,-1.154595,0.00525,,0.026667,-1.180836,0.00525,,0.026667,-0.451342,0,,0.026667,0.566801,-0.00525,,0.026667,1.333032,-0.00525,,0.026667,1.375017,-0.00525,,0.026667,1.191332,-0.00525,,0.026667,1.490477,-0.00525,,0.013333,0.729494,-0.00525
0.033333,-1.154595,0.00525,,0.033333,-1.175587,0.00525,,0.033333,-0.477582,0.00525,,0.033333,0.54056,0,,0.033333,1.317288,-0.00525,,0.033333,1.359273,0,,0.033333,1.175587,-0.00525,,0.033333,1.479981,-0.00525,,0.016667,0.724246,-0.00525
0.04,-1.159843,0.00525,,0.04,-1.175587,0.00525,,0.04,-0.503823,0.00525,,0.04,0.51432,-0.00525,,0.04,1.301543,-0.00525,,0.04,1.343529,-0.00525,,0.04,1.154595,-0.00525,,0.04,1.464236,-0.00525,,0.02,0.708501,-0.00525
0.046667,-1.159843,0.010501,,0.046667,-1.175587,0.00525,,0.046667,-0.530064,0.00525,,0.046667,0.493327,-0.00525,,0.046667,1.285799,-0.00525,,0.046667,1.327784,-0.00525,,0.046667,1.13885,-0.00525,,0.046667,1.45374,0,,0.023333,0.703253,-0.00525
0.053333,-1.165091,0.00525,,0.053333,-1.175587,0.00525,,0.053333,-0.556305,0.00525,,0.053333,0.467086,-0.00525,,0.053333,1.264806,-0.00525,,0.053333,1.317288,-0.00525,,0.053333,1.117858,-0.00525,,0.053333,1.437995,-0.00525,,0.026667,0.692757,0
0.06,-1.165091,0.00525,,0.06,-1.170339,0.00525,,0.06,-0.582546,0.00525,,0.06,0.440845,-0.00525,,0.06,1.249062,-0.00525,,0.06,1.296295,-0.00525,,0.06,1.096865,0,,0.06,1.422251,-0.00525,,0.03,0.682261,-0.00525
0.066667,-1.170339,0.00525,,0.066667,-1.170339,0.00525,,0.066667,-0.603538,0,,0.066667,0.414605,-0.00525,,0.066667,1.228069,-0.00525,,0.066667,1.280551,0,,0.066667,1.081121,-0.00525,,0.066667,1.406506,-0.00525,,0.033333,0.671764,-0.00525
0.073333,-1.170339,0.00525,,0.073333,-1.165091,0.00525,,0.073333,-0.629779,0.00525,,0.073333,0.383116,-0.00525,,0.073333,1.207076,-0.00525,,0.073333,1.264806,-0.00525,,0.073333,1.05488,-0.00525,,0.073333,1.385514,-0.00525,,0.036667,0.661268,-0.00525
