t (s) - 1,U1(V) - 1,U2(V) - 1,,t (s) - 2,U1(V) - 2,U2(V) - 2,,t (s) - 3,U1(V) - 3,U2(V) - 3,,t (s) - 4,U1(V) - 4,U2(V) - 4,,t (s) - 5,U1(V) - 5,U2(V) - 5,,t (s) - 6,U1(V) - 6,U2(V) - 6,,t (s) - 7,U1(V) - 7,U2(V) - 7,,t (s) - 8,U1(V) - 8,U2(V) - 8,,t (s) - 9,U1(V) - 9,U2(V) - 9,,t (s) - 10,U1(V) - 10,U2(V) - 10,,t (s) - 11,U1(V) - 11,U2(V) - 11,,t (s) - 12,U1(V) - 12,U2(V) - 12,,t (s) - 13,U1(V) - 13,U2(V) - 13,,t (s) - 14,U1(V) - 14,U2(V) - 14,,t (s) - 15,U1(V) - 15,U2(V) - 15,,t (s) - 16,U1(V) - 16,U2(V) - 16,,t (s) - 17,U1(V) - 17,U2(V) - 17,,t (s) - 18,U1(V) - 18,U2(V) - 18,,t (s) - 19,U1(V) - 19,U2(V) - 19,,t (s) - 20,U1(V) - 20,U2(V) - 20,,t (s) - 21,U1(V) - 21,U2(V) - 21,,t (s) - 22,U1(V) - 22,U2(V) - 22,,t (s) - 23,U1(V) - 23,U2(V) - 23,,t (s) - 24,U1(V) - 24,U2(V) - 24,,t (s) - 25,U1(V) - 25,U2(V) - 25
0,-0.062978,-0.036753,,0,0.078722,0.031502,,0,-0.015744,0,,0,0.062978,0.00525,,0,-0.131204,-0.031502,,0,-0.131204,-0.036753,,0,0.136452,0.015751,,0,-0.183686,-0.036753,,0,-0.173189,0,,0,0.335882,0.026252,,0,-0.031489,-0.036753,,0,-0.278152,0.021002,,0,0.173189,-0.031502,,0,0.125956,-0.036753,,0,0.05773,0.015751,,0,0.178437,-0.026252,,0,0.026241,0.010501,,0,0.125956,-0.036753,,0,-0.099715,0.031502,,0,0.094467,-0.031502,,0,-0.05773,0.021002,,0,-0.041985,0.031502,,0,-0.031489,0.026252,,0,0.036737,-0.026252,,0,0.031489,-0.031502
0.006667,-0.062978,-0.042003,,0.006667,0.078722,0.031502,,0.006667,-0.010496,0,,0.006667,0.062978,0.00525,,0.006667,-0.125956,-0.031502,,0.006667,-0.131204,-0.036753,,0.006667,0.136452,0.015751,,0.006667,-0.188934,-0.031502,,0.006667,-0.167941,0,,0.006667,0.34113,0.026252,,0.006667,-0.041985,-0.031502,,0.006667,-0.272904,0.026252,,0.006667,0.167941,-0.036753,,0.006667,0.120708,-0.031502,,0.006667,0.062978,0.015751,,0.006667,0.178437,-0.026252,,0.006667,0.031489,0.010501,,0.006667,0.125956,-0.036753,,0.006667,-0.094467,0.031502,,0.006667,0.094467,-0.031502,,0.006667,-0.05773,0.021002,,0.006667,-0.041985,0.026252,,0.006667,-0.026241,0.026252,,0.006667,0.031489,-0.031502,,0.006667,0.031489,-0.036753
0.013333,-0.062978,-0.036753,,0.013333,0.078722,0.031502,,0.013333,-0.015744,0,,0.013333,0.062978,0.00525,,0.013333,-0.131204,-0.031502,,0.013333,-0.131204,-0.036753,,0.013333,0.131204,0.010501,,0.013333,-0.188934,-0.031502,,0.013333,-0.167941,0,,0.013333,0.34113,0.021002,,0.013333,-0.052482,-0.036753,,0.013333,-0.267656,0.026252,,0.013333,0.162693,-0.036753,,0.013333,0.115459,-0.031502,,0.013333,0.068226,0.015751,,0.013333,0.178437,-0.026252,,0.013333,0.031489,0.010501,,0.013333,0.120708,-0.036753,,0.013333,-0.099715,0.031502,,0.013333,0.099715,-0.031502,,0.013333,-0.062978,0.026252,,0.013333,-0.041985,0.031502,,0.013333,-0.020993,0.026252,,0.013333,0.036737,-0.026252,,0.013333,0.031489,-0.036753
0.02,-0.05773,-0.036753,,0.02,0.078722,0.031502,,0.02,-0.005248,0.00525,,0.02,0.05773,0.00525,,0.02,-0.125956,-0.031502,,0.02,-0.131204,-0.036753,,0.02,0.131204,0.010501,,0.02,-0.188934,-0.036753,,0.02,-0.157445,0,,0.02,0.34113,0.026252,,0.02,-0.05773,-0.036753,,0.02,-0.267656,0.031502,,0.02,0.157445,-0.036753,,0.02,0.110211,-0.031502,,0.02,0.073474,0.015751,,0.02,0.183686,-0.031502,,0.02,0.036737,0.010501,,0.02,0.120708,-0.036753,,0.02,-0.094467,0.031502,,0.02,0.099715,-0.031502,,0.02,-0.068226,0.026252,,0.02,-0.036737,0.031502,,0.02,-0.026241,0.026252,,0.02,0.031489,-0.026252,,0.02,0.031489,-0.031502
0.026667,-0.05773,-0.036753,,0.026667,0.073474,0.031502,,0.026667,-0.010496,0.00525,,0.026667,0.052482,0.00525,,0.026667,-0.125956,-0.031502,,0.026667,-0.131204,-0.042003,,0.026667,0.131204,0.010501,,0.026667,-0.188934,-0.031502,,0.026667,-0.157445,0,,0.026667,0.346378,0.026252,,0.026667,-0.062978,-0.036753,,0.026667,-0.25716,0.026252,,0.026667,0.146948,-0.036753,,0.026667,0.099715,-0.031502,,0.026667,0.078722,0.010501,,0.026667,0.183686,-0.026252,,0.026667,0.036737,0.010501,,0.026667,0.120708,-0.036753,,0.026667,-0.099715,0.031502,,0.026667,0.094467,-0.031502,,0.026667,-0.062978,0.026252,,0.026667,-0.041985,0.031502,,0.026667,-0.020993,0.021002,,0.026667,0.031489,-0.026252,,0.026667,0.031489,-0.031502
0.033333,-0.062978,-0.036753,,0.033333,0.073474,0.031502,,0.033333,-0.005248,0.00525,,0.033333,0.052482,0.00525,,0.033333,-0.125956,-0.031502,,0.033333,-0.131204,-0.036753,,0.033333,0.125956,0.010501,,0.033333,-0.188934,-0.031502,,0.033333,-0.152197,0,,0.033333,0.346378,0.026252,,0.033333,-0.073474,-0.036753,,0.033333,-0.25716,0.026252,,0.033333,0.136452,-0.036753,,0.033333,0.099715,-0.031502,,0.033333,0.083971,0.010501,,0.033333,0.183686,-0.026252,,0.033333,0.041985,0.00525,,0.033333,0.120708,-0.036753,,0.033333,-0.099715,0.036753,,0.033333,0.094467,-0.036753,,0.033333,-0.068226,0.026252,,0.033333,-0.036737,0.026252,,0.033333,-0.020993,0.026252,,0.033333,0.031489,-0.026252,,0.033333,0.031489,-0.031502
0.04,-0.05773,-0.042003,,0.04,0.078722,0.031502,,0.04,-0.005248,0,,0.04,0.052482,0,,0.04,-0.125956,-0.026252,,0.04,-0.131204,-0.036753,,0.04,0.125956,0.010501,,0.04,-0.188934,-0.031502,,0.04,-0.152197,0.00525,,0.04,0.351627,0.021002,,0.04,-0.083971,-0.031502,,0.04,-0.251912,0.026252,,0.04,0.131204,-0.036753,,0.04,0.089219,-0.031502,,0.04,0.089219,0.010501,,0.04,0.183686,-0.031502,,0.04,0.041985,0.00525,,0.04,0.120708,-0.031502,,0.04,-0.099715,0.031502,,0.04,0.094467,-0.031502,,0.04,-0.068226,0.026252,,0.04,-0.036737,0.026252,,0.04,-0.026241,0.026252,,0.04,0.031489,-0.031502,,0.04,0.031489,-0.031502
0.046667,-0.062978,-0.036753,,0.046667,0.073474,0.031502,,0.046667,-0.005248,0.00525,,0.046667,0.052482,0.00525,,0.046667,-0.125956,-0.026252,,0.046667,-0.131204,-0.036753,,0.046667,0.120708,0.010501,,0.046667,-0.188934,-0.031502,,0.046667,-0.146948,0.00525,,0.046667,0.346378,0.026252,,0.046667,-0.089219,-0.031502,,0.046667,-0.241415,0.031502,,0.046667,0.125956,-0.036753,,0.046667,0.083971,-0.031502,,0.046667,0.094467,0.010501,,0.046667,0.183686,-0.031502,,0.046667,0.052482,0.00525,,0.046667,0.115459,-0.036753,,0.046667,-0.099715,0.036753,,0.046667,0.099715,-0.036753,,0.046667,-0.073474,0.031502,,0.046667,-0.031489,0.026252,,0.046667,-0.015744,0.021002,,0.046667,0.026241,-0.026252,,0.046667,0.026241,-0.026252
0.053333,-0.062978,-0.036753,,0.053333,0.073474,0.031502,,0.053333,-0.005248,0.00525,,0.053333,0.047233,0,,0.053333,-0.120708,-0.026252,,0.053333,-0.131204,-0.036753,,0.053333,0.120708,0.010501,,0.053333,-0.188934,-0.031502,,0.053333,-0.1417,0.00525,,0.053333,0.346378,0.026252,,0.053333,-0.099715,-0.036753,,0.053333,-0.241415,0.031502,,0.053333,0.115459,-0.031502,,0.053333,0.073474,-0.031502,,0.053333,0.099715,0.00525,,0.053333,0.178437,-0.031502,,0.053333,0.052482,0.00525,,0.053333,0.115459,-0.036753,,0.053333,-0.094467,0.031502,,0.053333,0.094467,-0.036753,,0.053333,-0.068226,0.026252,,0.053333,-0.031489,0.026252,,0.053333,-0.015744,0.026252,,0.053333,0.020993,-0.026252,,0.053333,0.026241,-0.031502
0.06,-0.062978,-0.036753,,0.06,0.078722,0.026252,,0.06,0,0.00525,,0.06,0.047233,0,,0.06,-0.120708,-0.026252,,0.06,-0.136452,-0.036753,,0.06,0.115459,0.010501,,0.06,-0.188934,-0.031502,,0.06,-0.136452,0.00525,,0.06,0.346378,0.021002,,0.06,-0.104963,-0.031502,,0.06,-0.236167,0.026252,,0.06,0.104963,-0.036753,,0.06,0.068226,-0.031502,,0.06,0.104963,0.00525,,0.06,0.183686,-0.031502,,0.06,0.05773,0.00525,,0.06,0.115459,-0.036753,,0.06,-0.094467,0.036753,,0.06,0.099715,-0.031502,,0.06,-0.073474,0.031502,,0.06,-0.031489,0.026252,,0.06,-0.015744,0.021002,,0.06,0.020993,-0.026252,,0.06,0.026241,-0.031502
