Time (s),Gyroscope y (rad/s)
3.45227174,-0.01191187184
3.454357229,-0.01206458826
3.456444316,-0.01191187184
3.458530671,-0.01313360315
3.46061846,-0.01313360315
3.46270571,-0.01435533352
3.464793203,-0.01435533352
3.466880942,-0.01191187184
3.468968985,-0.01435533352
3.471055757,-0.01679879427
3.473144136,-0.0155770639
3.475229767,-0.0155770639
3.477317404,-0.0155770639
3.479404379,-0.01679879427
3.48149225,-0.01802052557
3.483580141,-0.01802052557
3.48566793,-0.02046398632
3.487754426,-0.02168571576
3.489838055,-0.02168571576
3.491911257,-0.02046398632
3.494016704,-0.02412917651
3.496103313,-0.02657263726
3.498195385,-0.02535090782
3.500278526,-0.02535090782
3.502366722,-0.02901609987
3.504453493,-0.03023782931
3.506541404,-0.03268129006
3.508627514,-0.03390302137
3.51071507,-0.03527746722
3.512802462,-0.03512475267
3.51489024,-0.03649919853
3.516977643,-0.03894266114
3.51906409,-0.04260785133
3.521142276,-0.04138612002
3.523240318,-0.04382958263
3.525326245,-0.04260785133
3.527416476,-0.04260785133
3.529501244,-0.04260785133
3.531590019,-0.04612032697
3.533679914,-0.04734205827
3.5357646,-0.04734205827
3.537854403,-0.05222897977
3.539953759,-0.05345070735
3.542039758,-0.05589416996
3.544127251,-0.05849034712
3.546208306,-0.06093380973
3.54828641,-0.06337726861
3.550387027,-0.06704246253
3.552475681,-0.0719293803
3.554561536,-0.07559457421
3.556636945,-0.07803803682
3.558736433,-0.08048149943
3.560823266,-0.0853684172
3.562913659,-0.08659014851
3.565003085,-0.0853684172
3.567106734,-0.08643743396
3.569173689,-0.08888089657
3.571260299,-0.08643743396
3.573341761,-0.08521570265
3.575425581,-0.08399397135
3.577509392,-0.08170322329
3.579610172,-0.07925976813
3.581698307,-0.07681630552
3.583788142,-0.0731511116
3.585873946,-0.0719293803
3.587960168,-0.06948592514
3.590047428,-0.06459899992
3.592133336,-0.06215553731
3.594215529,-0.06215553731
3.59627983,-0.05971207842
3.598383427,-0.05711590126
3.600483952,-0.05467243865
3.602578018,-0.05467243865
3.604661839,-0.05222897977
3.606746058,-0.05100724846
3.608832463,-0.04978551716
3.610920079,-0.04856378585
3.613008072,-0.04505131021
3.615089503,-0.04627304152
3.617162185,-0.04505131021
3.619270502,-0.04871650413
3.621358027,-0.05115996301
3.623450109,-0.04993823543
3.625531132,-0.05482515693
3.627619074,-0.06093380973
3.629706772,-0.06582073122
3.631794002,-0.0731511116
3.633880967,-0.07681630552
3.635964431,-0.0853684172
3.638036586,-0.09392052889
3.640140244,-0.1012509167
3.642230912,-0.1098030284
3.644322108,-0.1207986027
3.646402481,-0.1317941695
3.648479548,-0.14156802
