Volume1 (ml),Pressure1 (bar),Volume2 (ml),Pressure2 (bar),Volume3 (ml),Pressure3 (bar),Volume4 (ml),Pressure4 (bar),Volume5 (ml),Pressure5 (bar),Volume6 (ml),Pressure6 (bar),Volume7 (ml),Pressure7 (bar),Volume8 (ml),Pressure8 (bar)
4,10.5,4,10.9,4,11,4,11,4,11,4,11.5,4,11.5,4,11.7
3.85,10.7,3.85,11.2,3.5,12.5,3.5,12.5,3.5,13,3.5,13,3.5,13.2,3.5,13.5
3.7,11.2,3.7,11.7,3,14.5,3,14.5,3,15,3,15,3,15.2,3,15.5
3.55,11.5,3.55,12.1,2.5,16.9,2.5,17,2.5,17.5,2.5,17.8,2.5,18,2.5,18.2
3.4,12.1,3.4,12.5,2.4,17.4,2.4,17.7,2,20.9,2,21,2,21.5,2,21.9
3.25,12.6,3.25,13.2,2.3,18.1,2.3,18.4,1.5,25.4,1.5,26,1.5,26.4,1.5,27
3.1,13.2,3.1,13.8,2.2,18.7,2.2,19,1.4,26.5,1.4,27,1.4,27.5,1.4,28
2.95,13.8,2.95,14.5,2.1,19.4,2.1,19.7,1.3,27.5,1.3,28.4,1.3,28.8,1.3,29.2
2.8,14.4,2.8,15,2,20,2,20.4,1.2,29,1.2,29.5,1.2,30,1.2,30.9
2.65,15.1,2.65,15.8,1.9,21,1.9,21.2,1.1,30.2,1.1,31,1.1,31.5,1.1,32.5
2.5,15.9,2.5,16.5,1.8,21.6,1.8,22,1,31.5,1,32.5,1,33.2,1,34
2.35,16.5,2.35,17.5,1.7,22.5,1.7,23,0.95,32,0.95,33,0.95,33.9,0.95,35
2.2,17.5,2.2,18.4,1.6,23.5,1.6,24,0.9,32.6,0.9,33.9,0.9,34.4,0.9,35.5
2.05,18.5,2.05,19.4,1.5,24.2,1.5,25,0.85,33.2,0.85,34.5,0.85,35.2,0.85,36.2
1.9,19.4,1.9,20.5,1.4,25.4,1.4,26,0.8,34,0.8,35,0.8,36,0.8,37.1
1.75,20.5,1.75,21.8,1.3,26.5,1.3,27,0.75,34.2,0.75,35.5,0.75,36.5,0.75,37.9
1.6,21.5,1.6,23,1.2,27.5,1.2,28.2,0.7,34.5,0.7,35.7,0.7,37.2,0.7,38.5
1.45,22.9,1.45,24.4,1.1,28.5,1.1,29.4,0.65,34.5,0.65,36.5,0.65,37.5,0.65,39.2
1.3,23.4,1.3,26,1,29.6,1,30.5,0.6,34.7,0.6,37,0.6,38.2,0.6,40
1.15,23.5,1.15,27.2,0.9,30,0.9,31.7,0.55,35,0.55,37,0.55,38.5,0.55,40.5
1,23.5,1,28.1,0.8,30,0.8,32.2,0.5,35,0.5,37,0.5,38.9,0.5,41.2
0.85,23.7,0.85,28.1,0.7,30.2,0.7,32.5,0.45,35,0.45,37.2,0.45,39,0.45,41.5
0.7,23.7,0.7,28.4,0.6,30.4,0.6,32.5,0.4,35.4,0.4,37.5,0.4,39.4,0.4,42.5
0.55,24.2,0.55,28.6,0.5,30.6,0.5,32.5,0.35,36,0.35,38.2,0.35,40.5,0.35,44.5
0.4,25,0.4,29.2,0.4,31.1,0.4,33,0.3,40.5,0.3,45.5,0.3,48,0.3,50
0.3,27.2,0.3,32,0.3,34,0.3,37,0.285,45,,,,,,
0.25,37,0.25,45,0.26,46.4,0.28,45.5,,,,,,,,
Temperature = 25.1 C,Temperature = 25.1 C,Temperature = 33 C,Temperature = 33 C,Temperature = 36 C,Temperature = 36 C,Temperature = 39 C,Temperature = 39 C,Temperature = 42 C,Temperature = 42 C,Temperature = 45 C,Temperature = 45 C,Temperature = 47 C,Temperature = 47 C,Temperature = 50 C,Temperature = 50 C
