Time (s),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
2.410175908,0.00009632110596,0.005915641785
2.426883547,-0.004627227783,0.008986026049
2.443561871,-0.009937286377,0.01167166233
2.460265545,-0.009855270386,0.01524025202
2.47696941,-0.009157180786,0.02275592089
2.493659351,-0.009046554565,0.02165693045
2.510357683,0.0006551742554,0.02063861489
2.527054957,0.000804901123,0.02557191253
2.610543691,-0.002744674683,0.05499866605
2.627237435,-0.00235748291,0.06611889601
2.643933224,-0.001895904541,0.083771348
2.66063995,-0.006134986877,0.09846541286
2.677334131,-0.01085472107,0.1058481336
2.694025323,-0.005271911621,0.1301301122
2.710732923,-0.004300117493,0.1479077339
2.727426941,-0.00789642334,0.1691796184
2.744124929,-0.00643825531,0.2041170299
2.76080899,-0.004636764526,0.2293513119
2.777545611,-0.007179260254,0.2696848214
2.794217525,-0.009179115295,0.3161122501
2.810902095,-0.01045799255,0.3651198447
2.827600548,-0.01081466675,0.4273891747
2.844289604,-0.01475906372,0.4947225153
2.860996624,-0.01714324951,0.5782394409
2.87769343,-0.02228832245,0.6652554274
2.894390929,-0.02956104279,0.7729351521
2.911105517,-0.04288578033,0.897808075
2.9277815,-0.05645084381,1.037827849
2.944495691,-0.07825946808,1.207044721
2.961217777,-0.1111421585,1.408303022
2.977883954,-0.152674675,1.625535727
2.994589306,-0.2134685516,1.888595223
3.011286062,-0.2890014648,2.197744131
3.027959685,-0.4534311295,2.621423244
3.04468115,-0.8433408737,3.07772994
3.061379686,-1.562709808,3.69114399
3.078090307,-1.982584476,4.576446056
3.094757653,-2.50706625,5.33224678
