"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.994025900E-2	1.221730490E-3	1.527163113E-4	2.443460980E-3	2.736137647E-3
2.201802500E-2	-1.221730490E-3	-1.069014193E-3	3.665191587E-3	4.008621472E-3
2.411446100E-2	-0.000000000E0	-1.069014193E-3	1.221730490E-3	1.623396666E-3
2.620030800E-2	-1.221730490E-3	1.374446787E-3	2.443460980E-3	3.058141744E-3
2.828671200E-2	-0.000000000E0	-1.069014193E-3	2.443460980E-3	2.667075722E-3
3.037652500E-2	-1.221730490E-3	-1.069014193E-3	2.443460980E-3	2.933584548E-3
3.246502700E-2	1.221730490E-3	1.527163113E-4	2.443460980E-3	2.736137647E-3
3.455336500E-2	-0.000000000E0	-1.069014193E-3	0.000000000E0	1.069014193E-3
3.663881400E-2	1.221730490E-3	1.527163113E-4	0.000000000E0	1.231238264E-3
3.872758900E-2	1.221730490E-3	-2.290744567E-3	0.000000000E0	2.596177202E-3
4.081312000E-2	1.221730490E-3	-3.512475174E-3	0.000000000E0	3.718885214E-3
4.290549700E-2	1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
4.500256400E-2	3.665191587E-3	1.527163113E-4	-1.221730490E-3	3.866468289E-3
4.707585600E-2	3.665191587E-3	-1.069014193E-3	0.000000000E0	3.817907898E-3
4.915935300E-2	4.886921961E-3	-2.290744567E-3	0.000000000E0	5.397176755E-3
5.122503700E-2	3.665191587E-3	-3.512475174E-3	-1.221730490E-3	5.221468817E-3
5.332172700E-2	3.665191587E-3	-2.290744567E-3	-1.221730490E-3	4.491521505E-3
5.541346200E-2	4.886921961E-3	-2.290744567E-3	-2.443460980E-3	5.924526858E-3
5.751644900E-2	4.886921961E-3	-2.290744567E-3	-2.443460980E-3	5.924526858E-3
5.959965000E-2	3.665191587E-3	-1.069014193E-3	-2.443460980E-3	4.532871306E-3
6.167588300E-2	4.886921961E-3	-4.734205548E-3	-2.443460980E-3	7.229468167E-3
6.376854500E-2	6.108652335E-3	-3.512475174E-3	-2.443460980E-3	7.458124212E-3
6.584971200E-2	6.108652335E-3	-3.512475174E-3	-2.443460980E-3	7.458124212E-3
6.794999200E-2	3.665191587E-3	-3.512475174E-3	-2.443460980E-3	5.633969540E-3
7.002710000E-2	4.886921961E-3	-1.069014193E-3	-2.443460980E-3	5.567342199E-3
7.212788000E-2	6.108652335E-3	-3.512475174E-3	-2.443460980E-3	7.458124212E-3
7.421151900E-2	6.108652335E-3	-2.290744567E-3	-2.443460980E-3	6.966609332E-3
7.630051800E-2	6.108652335E-3	-3.512475174E-3	-2.443460980E-3	7.458124212E-3
7.838536600E-2	4.886921961E-3	-3.512475174E-3	-2.443460980E-3	6.495382180E-3
8.047357200E-2	4.886921961E-3	-2.290744567E-3	-2.443460980E-3	5.924526858E-3
8.256125000E-2	6.108652335E-3	-2.290744567E-3	-2.443460980E-3	6.966609332E-3
8.464791000E-2	4.886921961E-3	-2.290744567E-3	-2.443460980E-3	5.924526858E-3
8.673493500E-2	3.665191587E-3	-1.069014193E-3	-2.443460980E-3	4.532871306E-3
8.882297800E-2	4.886921961E-3	-2.290744567E-3	-1.221730490E-3	5.533727705E-3
9.090630100E-2	2.443460980E-3	-1.069014193E-3	-1.221730490E-3	2.933584548E-3
9.298093800E-2	3.665191587E-3	-2.290744567E-3	-1.221730490E-3	4.491521505E-3
9.506804500E-2	2.443460980E-3	-4.734205548E-3	-1.221730490E-3	5.465878623E-3
9.715931300E-2	3.665191587E-3	-2.290744567E-3	-2.443460980E-3	4.965041954E-3
9.926387600E-2	3.665191587E-3	-3.512475174E-3	-2.443460980E-3	5.633969540E-3
1.013503840E-1	3.665191587E-3	-2.290744567E-3	-2.443460980E-3	4.965041954E-3
1.034373290E-1	3.665191587E-3	-2.290744567E-3	-1.221730490E-3	4.491521505E-3
1.055225340E-1	2.443460980E-3	-1.069014193E-3	-2.443460980E-3	3.617152813E-3
1.076081050E-1	2.443460980E-3	-2.290744567E-3	-1.221730490E-3	3.565198119E-3
1.096959040E-1	3.665191587E-3	-2.290744567E-3	0.000000000E0	4.322168442E-3
1.117830930E-1	1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
1.138660300E-1	1.221730490E-3	-3.512475174E-3	-1.221730490E-3	3.914426220E-3
1.159463320E-1	2.443460980E-3	1.527163113E-4	0.000000000E0	2.448228714E-3
1.180455840E-1	-0.000000000E0	-3.512475174E-3	0.000000000E0	3.512475174E-3
1.201343910E-1	1.221730490E-3	1.527163113E-4	1.221730490E-3	1.734523869E-3
1.222246720E-1	1.221730490E-3	1.527163113E-4	0.000000000E0	1.231238264E-3
1.243069590E-1	-0.000000000E0	-1.069014193E-3	0.000000000E0	1.069014193E-3
1.263943510E-1	-0.000000000E0	1.527163113E-4	0.000000000E0	1.527163113E-4
1.284818750E-1	1.221730490E-3	-1.069014193E-3	1.221730490E-3	2.031758383E-3
1.305704060E-1	-1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
1.326576050E-1	-1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
1.347438680E-1	-1.221730490E-3	-2.290744567E-3	1.221730490E-3	2.869278908E-3
1.368314120E-1	-2.443460980E-3	-2.290744567E-3	1.221730490E-3	3.565198119E-3
1.389203200E-1	-1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
1.410022100E-1	-2.443460980E-3	1.527163113E-4	1.221730490E-3	2.736137647E-3
1.430758490E-1	-1.221730490E-3	-1.069014193E-3	0.000000000E0	1.623396666E-3
1.451911950E-1	-1.221730490E-3	1.527163113E-4	1.221730490E-3	1.734523869E-3
1.472691980E-1	-2.443460980E-3	-1.069014193E-3	0.000000000E0	2.667075722E-3
1.493622670E-1	-2.443460980E-3	-1.069014193E-3	1.221730490E-3	2.933584548E-3
1.514407070E-1	-1.221730490E-3	-1.069014193E-3	1.221730490E-3	2.031758383E-3
1.535268480E-1	-0.000000000E0	-1.069014193E-3	1.221730490E-3	1.623396666E-3
1.556051360E-1	-1.221730490E-3	1.527163113E-4	1.221730490E-3	1.734523869E-3
1.577045720E-1	-1.221730490E-3	1.527163113E-4	1.221730490E-3	1.734523869E-3
1.597919750E-1	-1.221730490E-3	1.374446787E-3	1.221730490E-3	2.207794092E-3
1.618751760E-1	-2.443460980E-3	1.527163113E-4	0.000000000E0	2.448228714E-3
1.639362730E-1	-0.000000000E0	-1.069014193E-3	0.000000000E0	1.069014193E-3
1.660467360E-1	-1.221730490E-3	1.527163113E-4	0.000000000E0	1.231238264E-3
1.681426220E-1	-3.665191587E-3	1.527163113E-4	1.221730490E-3	3.866468289E-3
1.702363920E-1	-2.443460980E-3	2.596177394E-3	-1.527163113E-4	3.568467583E-3
1.723195930E-1	-2.443460980E-3	1.374446787E-3	1.221730490E-3	3.058141744E-3
1.744035270E-1	-2.443460980E-3	1.527163113E-4	1.221730490E-3	2.736137647E-3
1.764908280E-1	-2.443460980E-3	1.374446787E-3	0.000000000E0	2.803498802E-3
1.785782190E-1	-2.443460980E-3	1.374446787E-3	0.000000000E0	2.803498802E-3
1.806678700E-1	-2.443460980E-3	1.527163113E-4	1.221730490E-3	2.736137647E-3
