t (s)	U1(V)	U2(V)
0,000000	0,136452	0,015751
0,006667	0,136452	0,015751
0,013333	0,131204	0,010501
0,020000	0,131204	0,010501
0,026667	0,131204	0,010501
0,033333	0,125956	0,010501
0,040000	0,125956	0,010501
0,046667	0,120708	0,010501
0,053333	0,120708	0,010501
0,060000	0,115459	0,010501
0,066667	0,115459	0,005250
0,073333	0,110211	0,010501
0,080000	0,110211	0,010501
0,086667	0,104963	0,005250
0,093333	0,099715	0,005250
0,100000	0,099715	0,005250
0,106667	0,099715	0,005250
0,113333	0,094467	0,005250
0,120000	0,089219	0,000000
0,126667	0,089219	0,005250
0,133333	0,083971	0,000000
0,140000	0,083971	0,000000
0,146667	0,083971	0,000000
0,153333	0,078722	0,000000
0,160000	0,073474	0,000000
0,166667	0,068226	-0,005250
0,173333	0,068226	-0,005250
0,180000	0,062978	-0,005250
0,186667	0,057730	-0,005250
0,193333	0,057730	-0,005250
0,200000	0,057730	-0,005250
0,206667	0,047233	-0,005250
0,213333	0,047233	-0,005250
0,220000	0,047233	-0,010501
0,226667	0,041985	-0,010501
0,233333	0,036737	-0,010501
0,240000	0,036737	-0,010501
0,246667	0,031489	-0,010501
0,253333	0,031489	-0,010501
0,260000	0,026241	-0,015751
0,266667	0,020993	-0,015751
0,273333	0,015744	-0,015751
0,280000	0,015744	-0,015751
0,286667	0,010496	-0,015751
0,293333	0,010496	-0,015751
0,300000	0,005248	-0,015751
0,306667	0,005248	-0,021002
0,313333	-0,005248	-0,015751
0,320000	-0,005248	-0,021002
0,326667	-0,005248	-0,021002
0,333333	-0,010496	-0,021002
0,340000	-0,015744	-0,021002
0,346667	-0,020993	-0,021002
0,353333	-0,020993	-0,021002
0,360000	-0,026241	-0,026252
0,366667	-0,026241	-0,021002
0,373333	-0,031489	-0,026252
0,380000	-0,031489	-0,026252
0,386667	-0,036737	-0,026252
0,393333	-0,041985	-0,021002
0,400000	-0,047233	-0,026252
0,406667	-0,047233	-0,026252
0,413333	-0,047233	-0,031502
0,420000	-0,052482	-0,026252
0,426667	-0,057730	-0,026252
0,433333	-0,057730	-0,026252
0,440000	-0,062978	-0,026252
0,446667	-0,068226	-0,031502
0,453333	-0,068226	-0,031502
0,460000	-0,068226	-0,031502
0,466667	-0,073474	-0,031502
0,473333	-0,078722	-0,036753
0,480000	-0,083971	-0,026252
0,486667	-0,083971	-0,031502
0,493333	-0,083971	-0,031502
0,500000	-0,083971	-0,031502
0,506667	-0,089219	-0,036753
0,513333	-0,094467	-0,031502
0,520000	-0,089219	-0,031502
0,526667	-0,094467	-0,036753
0,533333	-0,099715	-0,036753
0,540000	-0,099715	-0,036753
0,546667	-0,104963	-0,036753
0,553333	-0,104963	-0,036753
0,560000	-0,104963	-0,031502
0,566667	-0,110211	-0,036753
0,573333	-0,115459	-0,036753
0,580000	-0,115459	-0,036753
0,586667	-0,115459	-0,031502
0,593333	-0,120708	-0,036753
0,600000	-0,120708	-0,036753
0,606667	-0,120708	-0,036753
0,613333	-0,131204	-0,036753
0,620000	-0,125956	-0,036753
0,626667	-0,125956	-0,036753
0,633333	-0,131204	-0,036753
0,640000	-0,131204	-0,036753
0,646667	-0,131204	-0,036753
0,653333	-0,136452	-0,036753
0,660000	-0,136452	-0,036753
0,666667	-0,136452	-0,036753
0,673333	-0,141700	-0,036753
0,680000	-0,141700	-0,036753
0,686667	-0,141700	-0,036753
0,693333	-0,141700	-0,036753
0,700000	-0,146948	-0,036753
0,706667	-0,146948	-0,036753
0,713333	-0,146948	-0,036753
0,720000	-0,146948	-0,036753
0,726667	-0,146948	-0,042003
0,733333	-0,152197	-0,031502
0,740000	-0,152197	-0,036753
0,746667	-0,152197	-0,031502
0,753333	-0,152197	-0,036753
0,760000	-0,152197	-0,036753
0,766667	-0,152197	-0,036753
0,773333	-0,157445	-0,036753
0,780000	-0,152197	-0,036753
0,786667	-0,157445	-0,036753
0,793333	-0,157445	-0,036753
0,800000	-0,152197	-0,031502
0,806667	-0,157445	-0,036753
0,813333	-0,152197	-0,036753
0,820000	-0,152197	-0,031502
0,826667	-0,152197	-0,036753
0,833333	-0,157445	-0,031502
0,840000	-0,157445	-0,031502
0,846667	-0,157445	-0,031502
0,853333	-0,157445	-0,031502
0,860000	-0,157445	-0,031502
0,866667	-0,152197	-0,031502
0,873333	-0,152197	-0,031502
0,880000	-0,152197	-0,031502
0,886667	-0,152197	-0,031502
0,893333	-0,146948	-0,031502
0,900000	-0,152197	-0,026252
0,906667	-0,146948	-0,026252
0,913333	-0,146948	-0,026252
0,920000	-0,146948	-0,031502
0,926667	-0,146948	-0,026252
0,933333	-0,146948	-0,026252
0,940000	-0,146948	-0,021002
0,946667	-0,141700	-0,026252
0,953333	-0,141700	-0,026252
0,960000	-0,141700	-0,026252
0,966667	-0,141700	-0,021002
0,973333	-0,136452	-0,021002
0,980000	-0,136452	-0,026252
0,986667	-0,136452	-0,021002
0,993333	-0,136452	-0,021002
1,000000	-0,136452	-0,021002
1,006667	-0,131204	-0,021002
1,013333	-0,131204	-0,021002
1,020000	-0,131204	-0,021002
1,026667	-0,125956	-0,021002
1,033333	-0,125956	-0,015751
1,040000	-0,125956	-0,021002
1,046667	-0,120708	-0,015751
1,053333	-0,120708	-0,015751
1,060000	-0,120708	-0,015751
1,066667	-0,115459	-0,015751
1,073333	-0,115459	-0,010501
1,080000	-0,115459	-0,015751
1,086667	-0,110211	-0,015751
1,093333	-0,104963	-0,010501
1,100000	-0,104963	-0,010501
1,106667	-0,099715	-0,010501
1,113333	-0,099715	-0,005250
1,120000	-0,099715	-0,010501
1,126667	-0,094467	-0,005250
1,133333	-0,094467	-0,005250
1,140000	-0,089219	-0,005250
1,146667	-0,089219	-0,005250
1,153333	-0,089219	-0,005250
1,160000	-0,078722	-0,005250
1,166667	-0,078722	-0,005250
1,173333	-0,078722	0,000000
1,180000	-0,073474	0,000000
1,186667	-0,073474	0,000000
1,193333	-0,068226	0,000000
1,200000	-0,062978	0,000000
1,206667	-0,062978	0,000000
1,213333	-0,057730	0,000000
1,220000	-0,057730	0,000000
1,226667	-0,052482	0,005250
1,233333	-0,047233	0,005250
1,240000	-0,047233	0,005250
1,246667	-0,041985	0,010501
1,253333	-0,041985	0,010501
1,260000	-0,041985	0,005250
1,266667	-0,036737	0,005250
1,273333	-0,031489	0,010501
1,280000	-0,031489	0,010501
1,286667	-0,026241	0,010501
1,293333	-0,026241	0,005250
1,300000	-0,020993	0,015751
1,306667	-0,015744	0,010501
1,313333	-0,020993	0,010501
1,320000	-0,010496	0,010501
1,326667	-0,010496	0,010501
1,333333	-0,005248	0,010501
1,340000	-0,000000	0,015751
1,346667	-0,000000	0,015751
1,353333	-0,000000	0,015751
1,360000	0,005248	0,015751
1,366667	0,010496	0,015751
1,373333	0,010496	0,021002
1,380000	0,015744	0,021002
1,386667	0,020993	0,021002
1,393333	0,020993	0,021002
1,400000	0,031489	0,026252
1,406667	0,031489	0,021002
1,413333	0,031489	0,021002
1,420000	0,036737	0,021002
1,426667	0,041985	0,021002
1,433333	0,041985	0,026252
1,440000	0,047233	0,026252
1,446667	0,052482	0,026252
1,453333	0,052482	0,026252
1,460000	0,057730	0,026252
1,466667	0,057730	0,026252
1,473333	0,062978	0,031502
1,480000	0,068226	0,026252
1,486667	0,068226	0,031502
1,493333	0,073474	0,026252
1,500000	0,073474	0,031502
1,506667	0,073474	0,031502
1,513333	0,083971	0,031502
1,520000	0,083971	0,031502
1,526667	0,089219	0,031502
1,533333	0,089219	0,031502
1,540000	0,094467	0,031502
1,546667	0,094467	0,031502
1,553333	0,099715	0,036753
1,560000	0,099715	0,031502
1,566667	0,104963	0,031502
1,573333	0,104963	0,036753
1,580000	0,110211	0,036753
1,586667	0,110211	0,036753
1,593333	0,110211	0,036753
1,600000	0,115459	0,031502
1,606667	0,120708	0,036753
1,613333	0,120708	0,036753
1,620000	0,125956	0,036753
1,626667	0,125956	0,036753
1,633333	0,131204	0,036753
1,640000	0,125956	0,036753
1,646667	0,131204	0,042003
1,653333	0,136452	0,036753
1,660000	0,141700	0,036753
1,666667	0,141700	0,036753
1,673333	0,141700	0,036753
1,680000	0,141700	0,036753
1,686667	0,141700	0,036753
1,693333	0,146948	0,036753
1,700000	0,146948	0,042003
1,706667	0,157445	0,036753
1,713333	0,152197	0,036753
1,720000	0,157445	0,036753
1,726667	0,152197	0,036753
1,733333	0,157445	0,036753
1,740000	0,157445	0,036753
1,746667	0,157445	0,036753
1,753333	0,162693	0,036753
1,760000	0,162693	0,036753
1,766667	0,162693	0,036753
1,773333	0,162693	0,036753
1,780000	0,167941	0,036753
1,786667	0,167941	0,036753
1,793333	0,167941	0,036753
1,800000	0,167941	0,036753
1,806667	0,167941	0,036753
1,813333	0,167941	0,036753
1,820000	0,173189	0,036753
1,826667	0,173189	0,036753
1,833333	0,173189	0,036753
1,840000	0,173189	0,036753
1,846667	0,173189	0,031502
1,853333	0,173189	0,036753
1,860000	0,173189	0,036753
1,866667	0,173189	0,036753
1,873333	0,178437	0,031502
1,880000	0,178437	0,031502
1,886667	0,173189	0,031502
1,893333	0,173189	0,031502
1,900000	0,173189	0,031502
1,906667	0,173189	0,031502
1,913333	0,173189	0,031502
1,920000	0,173189	0,031502
1,926667	0,173189	0,026252
1,933333	0,173189	0,026252
1,940000	0,173189	0,031502
1,946667	0,167941	0,026252
1,953333	0,173189	0,026252
1,960000	0,173189	0,026252
1,966667	0,167941	0,026252
1,973333	0,167941	0,026252
1,980000	0,167941	0,026252
1,986667	0,162693	0,026252
1,993333	0,162693	0,026252
2,000000	0,162693	0,021002
2,006667	0,162693	0,026252
2,013333	0,162693	0,026252
2,020000	0,157445	0,026252
2,026667	0,157445	0,021002
2,033333	0,152197	0,021002
2,040000	0,157445	0,021002
2,046667	0,152197	0,021002
2,053333	0,152197	0,015751
2,060000	0,152197	0,021002
2,066667	0,152197	0,015751
2,073333	0,146948	0,021002
2,080000	0,146948	0,015751
2,086667	0,141700	0,015751
2,093333	0,141700	0,015751
2,100000	0,136452	0,015751
2,106667	0,136452	0,015751
2,113333	0,136452	0,015751
2,120000	0,131204	0,015751
2,126667	0,131204	0,010501
2,133333	0,125956	0,010501
2,140000	0,125956	0,010501
2,146667	0,120708	0,010501
2,153333	0,120708	0,010501
2,160000	0,120708	0,005250
2,166667	0,115459	0,010501
2,173333	0,115459	0,010501
2,180000	0,110211	0,005250
2,186667	0,104963	0,005250
2,193333	0,104963	0,000000
2,200000	0,104963	0,005250
2,206667	0,099715	0,005250
2,213333	0,099715	0,000000
2,220000	0,094467	0,000000
2,226667	0,089219	0,005250
2,233333	0,089219	0,000000
2,240000	0,089219	0,005250
2,246667	0,078722	0,000000
2,253333	0,078722	0,000000
2,260000	0,078722	0,000000
2,266667	0,073474	0,000000
2,273333	0,068226	-0,005250
2,280000	0,068226	-0,005250
2,286667	0,062978	-0,005250
2,293333	0,057730	-0,005250
2,300000	0,057730	-0,010501
2,306667	0,052482	-0,005250
2,313333	0,052482	-0,010501
2,320000	0,047233	-0,005250
2,326667	0,041985	-0,010501
2,333333	0,036737	-0,010501
2,340000	0,036737	-0,010501
2,346667	0,036737	-0,010501
2,353333	0,031489	-0,010501
2,360000	0,026241	-0,010501
2,366667	0,026241	-0,015751
2,373333	0,020993	-0,015751
2,380000	0,020993	-0,015751
2,386667	0,015744	-0,015751
2,393333	0,010496	-0,021002
2,400000	0,005248	-0,015751
2,406667	0,005248	-0,015751
2,413333	-0,000000	-0,015751
2,420000	-0,005248	-0,021002
2,426667	-0,005248	-0,021002
2,433333	-0,010496	-0,021002
2,440000	-0,010496	-0,021002
2,446667	-0,015744	-0,021002
