Time [s],X position [m]
0,0
0.0333,0
0.0667,0.01
0.1,0.01
0.1333,0.02
0.1667,0.02
0.2,0.03
0.2333,0.03
0.2667,0.04
0.3,0.04
0.3333,0.05
0.3667,0.05
0.4,0.06
0.4333,0.07
0.4667,0.07
0.5,0.08
0.5333,0.09
0.5667,0.09
0.6,0.1
0.6333,0.1
0.6667,0.11
0.7,0.12
0.7333,0.13
0.7667,0.14
0.8,0.15
0.8333,0.16
0.8667,0.17
0.9,0.17
0.9333,0.18
0.9667,0.19
1,0.2
1.0333,0.21
1.0667,0.22
1.1,0.23
1.1333,0.24
1.1667,0.25
1.2,0.26
1.2333,0.27
1.2667,0.28
1.3,0.29
1.3333,0.3
1.3667,0.31
1.4,0.33
1.4333,0.34
1.4667,0.35
1.5,0.36
1.5333,0.37
1.5667,0.38
1.6,0.4
1.6333,0.41
1.6667,0.42
1.7,0.43
1.7333,0.45
1.7667,0.46
1.8,0.48
1.8333,0.49
1.8667,0.5
1.9,0.52
1.9333,0.53
1.9667,0.55
2,0.56
2.0333,0.57
2.0667,0.59
2.1,0.6
2.1333,0.62
2.1667,0.63
2.2,0.65
2.2333,0.66
2.2667,0.68
2.3,0.69
2.3333,0.71
2.3667,0.73
2.4,0.74
2.4333,0.76
2.4667,0.78
2.5,0.79
2.5333,0.81
2.5667,0.83
2.6,0.85
2.6333,0.86
2.6667,0.88
2.7,0.9
2.7333,0.92
2.7667,0.93
2.8,0.95
2.8333,0.97
2.8667,0.99
2.9,1.01
2.9333,1.03
2.9667,1.05
3,1.07
3.0333,1.09
3.0667,1.11
3.1,1.12
3.1333,1.15
3.1667,1.17
3.2,1.19
3.2333,1.21
3.2667,1.23
3.3,1.25
3.3333,1.27
3.3667,1.29
3.4,1.32
3.4333,1.34
3.4667,1.36
3.5,1.38
3.5333,1.4
3.5667,1.43
3.6,1.45
3.6333,1.47
3.6667,1.5
3.7,1.52
3.7333,1.54
3.7667,1.57
3.8,1.59
3.8333,1.61
3.8667,1.64
3.9,1.66
3.9333,1.69
3.9667,1.71
4,1.74
4.0333,1.76
4.0667,1.78
4.1,1.81
4.1333,1.83
4.1667,1.86
4.2,1.89
4.2333,1.91
4.2667,1.94
4.3,1.96
