Time (t) / s ,Reading - start,Reading - end, ω(S) / rad/s, ω(F) / rad/s, ω / rad/s,ω(p) / rad/s
5.53,2056,2027,26.91,26.53,26.72,1.136
7.1,2136,2111,27.96,27.63,27.80,0.885
6.75,2160,2135,28.27,27.95,28.11,0.931
7.5,2446,2409,32.02,31.53,31.78,0.838
7.5,2535,2500,33.18,32.72,32.95,0.838
8.3,2670,2640,34.95,34.56,34.75,0.757
8.5,2683,2670,35.12,34.95,35.04,0.739
9.7,2722,2693,35.63,35.25,35.44,0.648
8.53,2780,2659,36.39,34.81,35.60,0.737
8.06,2970,2840,38.88,37.18,38.03,0.780
7.25,2940,2925,38.48,38.29,38.39,0.867
9,2975,2924,38.94,38.28,38.61,0.698
10.6,3150,3144,41.23,41.15,41.19,0.593
10.5,3334,3302,43.64,43.22,43.43,0.598
11.3,3420,3430,44.77,44.90,44.83,0.556
,,,,,,
M = 54g,,,,,,
